Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8
34633.76,48335.02,32087.0,68128.38,55718.34,70894.01,57423.68,57986.41
34617.93,48331.53,32072.78,68139.11,55745.16,70896.69,57452.38,57986.41
34607.2,48319.46,32071.44,68117.65,55758.84,70883.81,57471.96,57986.95
34616.86,48315.71,32082.98,68087.34,55739.26,70873.62,57454.8,57989.63
34633.76,48325.63,32091.29,68088.68,55715.39,70881.13,57426.9,57991.51
34633.76,48335.29,32085.39,68114.7,55717.26,70893.47,57423.68,57988.83
34620.08,48332.07,32073.86,68127.04,55741.94,70893.74,57450.77,57983.73
34608.28,48319.46,32068.76,68103.97,55752.4,70879.79,57469.01,57983.46
34616.06,48311.95,32078.42,68072.59,55729.06,70866.65,57451.85,57986.14
34634.03,48320.8,32089.68,68069.91,55699.56,70868.26,57423.68,57987.75
34637.51,48329.12,32082.17,68096.19,55700.9,70880.06,57423.42,57986.41
34621.42,48327.51,32068.22,68109.87,55727.72,70879.52,57451.58,57985.34
34610.15,48316.24,32068.22,68089.22,55740.33,70864.23,57470.62,57984.27
